Seccion;Nombre Seccion;Nombre_Archivo;ID_Archivo_Drive;Tipo Archivo
5;Infraestructura Netflix Eureka  y spring config (spring cloud);14. Agregar configurar Actuator consultar métricas.srt;1eFcVyg_jOvpcNWlHoxjZfouhcDnyRPHr;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);14.1 API REST de eureka.html;1zHOLVOEYYjzFeBGlk_7_Ngt7CsOMZ9Cq;text/html
5;Infraestructura Netflix Eureka  y spring config (spring cloud);14.2 Spring cloud netflix de eureka.html;1F5VuYWXnoKEFiCbbBrtLhuTs1qOx851n;text/html
5;Infraestructura Netflix Eureka  y spring config (spring cloud);15. Descubrir servicios por nombre servidor Registro.mp4;1rK_VqWn7gjzRIpuVEnpzYXJbrwCk61Tb;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);15. Descubrir servicios por nombre servidor Registro.srt;1_vG2TnEvfVxvvYqyWSpA6gFJqZEGVdyu;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);16. Balanceador carga cliente Spring cloud LoadBalancer.mp4;127Dd4_hpVX1Vr2QLoCY1oeX6O2y_FdHp;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);16. Balanceador carga cliente Spring cloud LoadBalancer.srt;1KMbqQbH3jC9hcsMpvR2ofFQavVQ4cPN4;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);16.1 paymentchainparent-spring-cloud-eureka_full.zip;1DZtt7pfslvWO8Qb9xSlCwRODjsYX6Mtw;application/zip
5;Infraestructura Netflix Eureka  y spring config (spring cloud);2. Uso perfiles administrar configuración por entornos.mp4;1yn5verohfdUI8CDIqrGjemuF2ax-VZw2;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);2. Uso perfiles administrar configuración por entornos.srt;1l4MhSZpBHATzQu1gM51uHDqbJoZ4uKR_;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);3. Escribir fichero propiedades perfil local desarrollo.mp4;18QYXyjaxZiq8owLDu7vB3UUm6JbLQ3f4;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);3. Escribir fichero propiedades perfil local desarrollo.srt;1d2E3jW67DeQCwLEwa9xq6xb9TFPp2h4b;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);4. Escribir fichero propiedades yaml perfil producción.mp4;1yJAPunqhdzM2ilJdCrNAUiNUqyui8JwP;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);4. Escribir fichero propiedades yaml perfil producción.srt;1ecOL7FXYQCl9M8UkdJJEtMtjGy98m4Zi;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);4.1 paymentchainparent_profiles.zip;1TBAekOrOaTP2fYTOtP8_AW3koq-Y19mo;application/zip
5;Infraestructura Netflix Eureka  y spring config (spring cloud);5. Spring Cloud.mp4;1CmVDoGoqo81pkMdD3HkHx5X0QeodKVDh;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);5. Spring Cloud.srt;1zW_dsFbF7b1bSCHmEjyM8ocjA1lTdYgm;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);5.1 Instalar git , video apoyo mi canal youtube.html;1cBOX3zbbthtaaYuWsDT-QSvOL3geDByT;text/html
5;Infraestructura Netflix Eureka  y spring config (spring cloud);5.2 Guia instalar git windows.html;1MHj-Vxw6FSpeiUS2UR3_iCrLWlGvYCgW;text/html
5;Infraestructura Netflix Eureka  y spring config (spring cloud);5.3 Spring cloud tabla equivalencias spring boot.html;1C4HqPY5C1wxn4LbPIRptj6-4N8--XKcD;text/html
5;Infraestructura Netflix Eureka  y spring config (spring cloud);6. Crear repositorio git datasource servidor.mp4;1F78PverEUqT6iJaBubI7AVq7Xt4crYDK;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);6. Crear repositorio git datasource servidor.srt;1vAlwrq6jgk3d5FfajkdM5WFGuhPo2HtY;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);6.1 Documentación oficial de spring cloud config server.html;1kIvT3VhYsCy_FlvDFwNeM08GLvQy_9Ef;text/html
5;Infraestructura Netflix Eureka  y spring config (spring cloud);6.2 paymentchainparent_cloud-configserver.zip;1rT9BBNqPe8fcTKo2avspVyvcyAzILTn-;application/zip
5;Infraestructura Netflix Eureka  y spring config (spring cloud);7. Configurar spring cloud springconfig cliente todos.mp4;1fIsV0INX6sXDzDnEDiUMMX-26ScZkiSG;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);7. Configurar spring cloud springconfig cliente todos.srt;1IpSzyL8EIqLAmFXRi2LDPJunx228-Qqq;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);8. Importar configuración externa desde springCofig.mp4;12OYSlSc_56T7_CJpkpITcweRuExKFWP2;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);8. Importar configuración externa desde springCofig.srt;14tsxW_auCOh2jXfu58BwzYnl2buwMKcq;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);9. Indicar ruta repositorio git al jar springCofig.mp4;126WS2XwthAzipuuCpu7IQECaSgYt0FY3;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);9. Indicar ruta repositorio git al jar springCofig.srt;16_dPrZPZHpIH5C4YMfN1hd6q7Qu1Tz3a;script (srt)
6;Observabilidad  Monitorizando los microservicios con Spring Admin;1. Observando sus microservicios con Spring Admin.mp4;13ruTMxTr0-gUzcWyLje2RK5g34sFm9Wj;video/mp4
6;Observabilidad  Monitorizando los microservicios con Spring Admin;1. Observando sus microservicios con Spring Admin.srt;1Etav8g1MXizO2ajxDuxxo1XuY-2UGOkF;script (srt)
6;Observabilidad  Monitorizando los microservicios con Spring Admin;2. Crear servidor observabilidad Spring Boot Spring.mp4;1HOcOu2yYDmy6DlefmEaZJ5Aej001J2_l;video/mp4
